,movie_name,movie_rating,movie_genre,movie_director,movie_actor,movie_genre_split,movie_director_split,movie_actor_split
0,태극기 휘날리며,9.1,['전쟁'],강제규,"['장동건', '원빈']",전쟁,강제규,장동건 원빈
1,트로이,8.4,"['액션', '로맨스', '멜로']",볼프강 페터슨,"['브래드 피트', '올랜도 블룸']",액션 로맨스 멜로,볼프강페터슨,브래드피트 올랜도블룸
2,내 머리 속의 지우개,8.7,"['로맨스', '멜로', '드라마']",이재한,"['정우성', '손예진']",로맨스 멜로 드라마,이재한,정우성 손예진
3,귀신이 산다,6.4,"['코미디', '판타지', '공포']",김상진,"['차승원', '장서희']",코미디 판타지 공포,김상진,차승원 장서희
4,투모로우,8.3,"['액션', '스릴러', 'SF', '어드벤처', '드라마']",롤랜드 에머리히,"['데니스 퀘이드', '제이크 질렌할']",액션 스릴러 SF 어드벤처 드라마,롤랜드에머리히,데니스퀘이드 제이크질렌할
5,우리 형,8.3,['드라마'],안권태,"['원빈', '신하균', '김해숙']",드라마,안권태,원빈 신하균 김해숙
6,해리포터와 아즈카반의 죄수,8.4,"['판타지', '어드벤처']",알폰소 쿠아론,"['다니엘 래드클리프', '엠마 왓슨', '루퍼트 그린트']",판타지 어드벤처,알폰소쿠아론,다니엘래드클리프 엠마왓슨 루퍼트그린트
7,슈렉2,7.6,"['코미디', '어드벤처', '애니메이션']",앤드류 아담슨,"['마이크 마이어스', '에디 머피', '카메론 디아즈']",코미디 어드벤처 애니메이션,앤드류아담슨,마이크마이어스 에디머피 카메론디아즈
8,실미도,8.0,"['스릴러', '전쟁']",강우석,"['설경구', '안성기', '허준호', '정재영']",스릴러 전쟁,강우석,설경구 안성기 허준호 정재영
9,스파이더맨 2,8.5,"['액션', '스릴러', 'SF']",샘 레이미,"['토비 맥과이어', '커스틴 던스트']",액션 스릴러 SF,샘레이미,토비맥과이어 커스틴던스트
10,바람의 파이터,7.9,"['액션', '드라마']",양윤호,['양동근'],액션 드라마,양윤호,양동근
11,오페라의 유령,8.6,"['로맨스', '멜로', '뮤지컬']",조엘 슈마허,"['제라드 버틀러', '에미 로섬', '패트릭 윌슨']",로맨스 멜로 뮤지컬,조엘슈마허,제라드버틀러 에미로섬 패트릭윌슨
12,내 여자친구를 소개합니다,7.3,"['코미디', '로맨스', '멜로']",곽재용,"['전지현', '장혁']",코미디 로맨스 멜로,곽재용,전지현 장혁
13,늑대의 유혹,7.7,"['로맨스', '멜로', '액션']",김태균,"['조한선', '강동원', '이청아']",로맨스 멜로 액션,김태균,조한선 강동원 이청아
14,가족,8.0,['드라마'],이정철,"['수애', '주현', '박지빈']",드라마,이정철,수애 주현 박지빈
15,시실리 2km,7.9,"['코미디', '공포']",신정원,"['임창정', '권오중', '임은경', '변희봉']",코미디 공포,신정원,임창정 권오중 임은경 변희봉
16,"아이, 로봇",8.3,"['액션', '미스터리', '스릴러', 'SF']",알렉스 프로야스,['윌 스미스'],액션 미스터리 스릴러 SF,알렉스프로야스,윌스미스
17,S 다이어리,6.2,"['코미디', '로맨스', '멜로']",권종관,['김선아'],코미디 로맨스 멜로,권종관,김선아
18,알포인트,8.4,"['공포', '전쟁']",공수창,['감우성'],공포 전쟁,공수창,감우성
19,주홍글씨,6.0,"['로맨스', '멜로', '스릴러']",변혁,"['한석규', '이은주']",로맨스 멜로 스릴러,변혁,한석규 이은주
20,연인,7.5,['드라마'],장예모,"['유덕화', '금성무', '장쯔이']",드라마,장예모,유덕화 금성무 장쯔이
21,브리짓 존스의 일기2 : 열정과 애정,8.0,"['코미디', '로맨스', '멜로']",비반 키드론,"['르네 젤위거', '휴 그랜트', '콜린 퍼스']",코미디 로맨스 멜로,비반키드론,르네젤위거 휴그랜트 콜린퍼스
22,어린 신부,7.2,"['코미디', '로맨스', '멜로']",김호준,"['김래원', '문근영']",코미디 로맨스 멜로,김호준,김래원 문근영
23,터미널,8.7,"['코미디', '로맨스', '멜로']",스티븐 스필버그,"['톰 행크스', '캐서린 제타 존스']",코미디 로맨스 멜로,스티븐스필버그,톰행크스 캐서린제타존스
24,하울의 움직이는 성,9.1,"['애니메이션', '판타지', '로맨스', '멜로']",미야자키 하야오,"['바이쇼 치에코', '기무라 타쿠야']",애니메이션 판타지 로맨스 멜로,미야자키하야오,바이쇼치에코 기무라타쿠야
25,나비효과,9.1,"['스릴러', '판타지']",에릭 브레스,"['애쉬튼 커처', '멜로라 월터스', '에이미 스마트']",스릴러 판타지,에릭브레스,애쉬튼커처 멜로라월터스 에이미스마트
26,역도산,6.3,['드라마'],송해성,['설경구'],드라마,송해성,설경구
27,범죄의 재구성,8.6,"['범죄', '스릴러']",최동훈,"['박신양', '백윤식', '염정아']",범죄 스릴러,최동훈,박신양 백윤식 염정아
28,반 헬싱,8.0,"['액션', '판타지']",스티븐 소머즈,"['휴 잭맨', '케이트 베킨세일']",액션 판타지,스티븐소머즈,휴잭맨 케이트베킨세일
29,이프 온리,8.8,"['판타지', '로맨스', '멜로', '코미디', '드라마']",길 정거,"['제니퍼 러브 휴이트', '폴 니콜스']",판타지 로맨스 멜로 코미디 드라마,길정거,제니퍼러브휴이트 폴니콜스
30,여선생 VS 여제자,8.2,['코미디'],장규성,"['염정아', '이세영']",코미디,장규성,염정아 이세영
31,패션 오브 크라이스트,8.6,['드라마'],멜 깁슨,['제임스 카비젤'],드라마,멜깁슨,제임스카비젤
32,아라한 장풍대작전,6.9,"['코미디', '액션']",류승완,"['류승범', '윤소이', '안성기']",코미디 액션,류승완,류승범 윤소이 안성기
