Total Length : 298
Accuracy : 96.0%
Precision : 96.0%
Recall : 96.0%
F1 : 96.0%

2160	20.21%	28.54%	9.35%	24.03%	17.87%	tech	entertainment
1360	44.86%	15.09%	7.4%	14.5%	18.15%	politics	politics
302	44.32%	15.46%	10.58%	15.45%	14.19%	politics	politics
864	32.77%	31.27%	2.88%	13.8%	19.28%	politics	tech
2184	19.9%	31.15%	18.52%	17.12%	13.31%	tech	tech
1322	17.3%	29.41%	2.29%	14.81%	36.18%	business	business
930	16.07%	41.96%	12.06%	15.68%	14.22%	tech	tech
1314	19.53%	22.34%	12.19%	31.91%	14.03%	entertainment	entertainment
140	32.48%	25.11%	0.36%	9.27%	32.77%	business	business
538	18.44%	40.3%	10.23%	13.36%	17.68%	tech	tech
1554	45.08%	16.23%	8.12%	13.57%	17.0%	politics	politics
570	16.62%	28.17%	9.65%	31.26%	14.3%	entertainment	entertainment
663	27.39%	21.97%	11.8%	12.16%	26.68%	politics	business
790	16.4%	16.29%	35.04%	20.76%	11.51%	sport	sport
1587	14.59%	44.59%	2.34%	19.86%	18.62%	tech	tech
1375	29.89%	31.31%	3.74%	11.97%	23.09%	tech	tech
1774	16.7%	30.39%	-0.23%	15.01%	38.14%	business	business
900	23.12%	21.58%	24.53%	15.39%	15.38%	sport	sport
2047	41.07%	18.95%	6.72%	14.03%	19.23%	politics	politics
1813	22.26%	23.51%	8.63%	15.44%	30.17%	business	business
658	21.37%	40.21%	8.26%	14.28%	15.87%	tech	tech
762	19.68%	24.73%	9.02%	34.37%	12.2%	entertainment	entertainment
1989	21.14%	17.0%	33.43%	14.47%	13.96%	sport	sport
1759	21.68%	24.22%	7.45%	14.55%	32.1%	business	business
1490	22.53%	15.48%	33.61%	15.62%	12.75%	sport	sport
155	19.64%	38.35%	7.89%	15.97%	18.15%	tech	tech
736	18.73%	24.35%	4.2%	16.95%	35.78%	business	business
1146	19.1%	16.67%	33.36%	17.57%	13.29%	sport	sport
69	18.74%	43.96%	6.96%	14.55%	15.78%	tech	tech
500	25.07%	23.18%	8.23%	10.86%	32.66%	business	business
210	21.7%	18.45%	28.6%	15.8%	15.45%	sport	sport
1283	25.7%	22.43%	8.8%	13.42%	29.66%	business	business
1650	21.12%	23.96%	4.01%	13.4%	37.51%	business	business
1102	41.81%	19.56%	5.66%	9.72%	23.26%	politics	politics
1432	22.35%	20.16%	28.8%	14.8%	13.89%	sport	sport
973	25.19%	29.13%	8.65%	17.2%	19.83%	tech	tech
555	30.26%	18.69%	13.26%	22.33%	15.45%	politics	politics
35	18.92%	22.83%	8.69%	18.2%	31.36%	business	business
1505	17.66%	27.61%	8.42%	32.45%	13.86%	entertainment	entertainment
1969	23.79%	32.89%	5.94%	11.31%	26.07%	tech	business
527	19.87%	14.81%	40.57%	12.16%	12.58%	sport	sport
627	26.98%	26.34%	5.11%	15.05%	26.52%	politics	business
947	40.35%	19.44%	8.64%	15.03%	16.55%	politics	politics
1537	23.14%	26.18%	0.03%	11.89%	38.76%	business	business
482	21.42%	13.17%	39.13%	17.02%	9.27%	sport	sport
1574	22.44%	24.94%	7.28%	15.38%	29.96%	business	business
413	41.37%	15.56%	10.02%	16.14%	16.91%	politics	politics
1091	19.49%	33.46%	11.84%	21.61%	13.6%	tech	tech
1818	35.21%	18.97%	9.56%	19.1%	17.16%	politics	politics
1117	21.54%	23.36%	12.17%	17.22%	25.72%	business	business
79	16.86%	15.23%	38.28%	18.06%	11.57%	sport	sport
1499	18.51%	19.32%	30.95%	17.65%	13.58%	sport	sport
90	23.78%	22.11%	5.1%	10.95%	38.06%	business	business
1809	18.74%	18.34%	30.19%	18.37%	14.36%	sport	sport
2081	39.01%	23.21%	6.25%	13.69%	17.85%	politics	politics
264	20.56%	21.67%	14.03%	29.54%	14.2%	entertainment	entertainment
1017	19.75%	17.89%	13.88%	35.74%	12.74%	entertainment	entertainment
1104	29.83%	21.13%	12.38%	21.71%	14.95%	politics	politics
949	20.75%	27.77%	4.6%	12.98%	33.89%	business	business
988	20.43%	25.57%	14.88%	28.75%	10.37%	entertainment	entertainment
1981	19.88%	40.91%	4.34%	15.11%	19.76%	tech	tech
135	22.04%	18.58%	6.23%	16.48%	36.67%	business	business
1294	22.6%	21.52%	14.06%	23.05%	18.77%	entertainment	entertainment
447	17.96%	45.25%	2.01%	15.27%	19.52%	tech	tech
1004	17.71%	42.8%	7.63%	13.9%	17.97%	tech	tech
21	21.87%	39.77%	8.12%	13.98%	16.26%	tech	tech
2004	17.78%	23.81%	8.49%	16.01%	33.91%	business	business
1454	20.49%	40.93%	5.45%	17.06%	16.06%	tech	tech
1155	38.95%	18.66%	6.96%	13.08%	22.35%	politics	politics
1041	41.93%	19.78%	1.67%	9.51%	27.11%	politics	politics
39	37.21%	23.09%	5.97%	11.93%	21.79%	politics	politics
1692	19.08%	18.6%	35.79%	15.13%	11.4%	sport	sport
1403	16.9%	21.11%	33.53%	17.52%	10.94%	sport	sport
218	16.79%	18.0%	37.22%	17.15%	10.85%	sport	sport
2098	17.67%	22.53%	10.69%	38.87%	10.24%	entertainment	entertainment
11	18.78%	23.96%	12.32%	30.16%	14.77%	entertainment	entertainment
705	24.79%	24.9%	3.3%	7.89%	39.12%	business	business
7	42.3%	20.8%	5.17%	12.85%	18.87%	politics	politics
1235	17.39%	25.12%	8.19%	13.2%	36.1%	business	business
1503	28.92%	24.97%	1.87%	12.29%	31.95%	business	business
766	16.85%	24.89%	7.33%	14.9%	36.05%	business	business
92	18.39%	17.53%	32.73%	16.96%	14.39%	sport	sport
425	20.43%	18.07%	32.39%	17.78%	11.33%	sport	sport
96	19.4%	17.06%	29.49%	20.32%	13.73%	sport	sport
788	24.86%	20.79%	11.53%	8.7%	34.12%	business	business
1343	16.35%	21.59%	14.58%	35.4%	12.07%	entertainment	entertainment
1649	22.07%	19.69%	27.96%	17.42%	12.85%	sport	sport
1110	21.14%	24.3%	7.65%	13.79%	33.12%	business	business
2107	20.56%	21.08%	5.32%	14.25%	38.8%	business	business
804	22.44%	37.91%	6.79%	12.47%	20.38%	tech	tech
391	20.07%	26.43%	6.88%	33.13%	13.49%	entertainment	entertainment
1677	27.51%	21.08%	11.66%	15.56%	24.2%	politics	politics
1713	37.81%	18.75%	6.52%	15.92%	21.0%	politics	politics
1464	23.52%	36.73%	6.11%	17.54%	16.1%	tech	tech
1126	21.08%	23.4%	10.17%	15.58%	29.78%	business	business
1605	34.34%	21.05%	12.23%	16.52%	15.85%	politics	politics
1215	19.45%	41.52%	10.18%	14.3%	14.54%	tech	tech
809	16.82%	43.84%	5.63%	13.92%	19.79%	tech	tech
366	14.42%	19.09%	12.31%	45.37%	8.81%	entertainment	entertainment
929	33.18%	21.57%	10.12%	17.39%	17.74%	politics	politics
